Id,Tag,Fim,target_4h,split,score,threshold,prediction
121866089,CA65932,2025-06-17 09:00:00+00:00,0,test,0.31368251403497616,0.1802228521655894,1
121884991,CA65932,2025-06-17 13:00:00+00:00,0,test,0.28796439087427084,0.1802228521655894,1
121913278,CA65932,2025-06-17 17:00:00+00:00,0,test,0.31136113907329704,0.1802228521655894,1
122029654,CA65932,2025-06-17 21:00:00+00:00,0,test,0.3378934758978952,0.1802228521655894,1
122837870,CA65932,2025-06-18 01:00:00+00:00,0,test,0.24891087564553882,0.1802228521655894,1
122991408,CA65932,2025-06-18 05:00:00+00:00,0,test,0.24868688134453076,0.1802228521655894,1
123008550,CA65932,2025-06-18 09:00:00+00:00,0,test,0.2620500195496102,0.1802228521655894,1
123019873,CA65932,2025-06-18 13:00:00+00:00,0,test,0.23891378395092822,0.1802228521655894,1
123042847,CA65932,2025-06-18 17:00:00+00:00,0,test,0.25012977132719627,0.1802228521655894,1
123115682,CA65932,2025-06-18 21:00:00+00:00,0,test,0.35895687671028903,0.1802228521655894,1
123130801,CA65932,2025-06-19 01:00:00+00:00,0,test,0.2663235854759222,0.1802228521655894,1
123140916,CA65932,2025-06-19 05:00:00+00:00,0,test,0.2567080144493944,0.1802228521655894,1
123154504,CA65932,2025-06-19 09:00:00+00:00,0,test,0.2623361100823742,0.1802228521655894,1
123166593,CA65932,2025-06-19 13:00:00+00:00,0,test,0.25912005448508746,0.1802228521655894,1
123175407,CA65932,2025-06-19 17:00:00+00:00,0,test,0.2624704574710232,0.1802228521655894,1
123189643,CA65932,2025-06-19 21:00:00+00:00,0,test,0.290200954732547,0.1802228521655894,1
123199357,CA65932,2025-06-20 01:00:00+00:00,0,test,0.24149096993417737,0.1802228521655894,1
123212373,CA65932,2025-06-20 05:00:00+00:00,0,test,0.2403742428885524,0.1802228521655894,1
123224172,CA65932,2025-06-20 09:00:00+00:00,0,test,0.24104105726170313,0.1802228521655894,1
123235279,CA65932,2025-06-20 13:00:00+00:00,1,test,0.21733208742791765,0.1802228521655894,1
123246697,CA65932,2025-06-20 17:00:00+00:00,1,test,0.3012307670923669,0.1802228521655894,1
123261066,CA65932,2025-06-20 21:00:00+00:00,0,test,0.32916775162986506,0.1802228521655894,1
123270024,CA65932,2025-06-21 01:00:00+00:00,0,test,0.2780655355011423,0.1802228521655894,1
123284482,CA65932,2025-06-21 05:00:00+00:00,0,test,0.27641857132504777,0.1802228521655894,1
123293074,CA65932,2025-06-21 09:00:00+00:00,1,test,0.29261484691420486,0.1802228521655894,1
123306418,CA65932,2025-06-21 13:00:00+00:00,0,test,0.31548288245761913,0.1802228521655894,1
123316634,CA65932,2025-06-21 17:00:00+00:00,0,test,0.318799285564103,0.1802228521655894,1
123329291,CA65932,2025-06-21 21:00:00+00:00,0,test,0.3559575261601604,0.1802228521655894,1
123339254,CA65932,2025-06-22 01:00:00+00:00,1,test,0.2753262800022878,0.1802228521655894,1
